Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
39 launch,522,567,561,589,597,692,537,1101,0.000%,1.73791,8.03,0.61
01_Launch,522,567,561,589,597,692,537,1101,0.000%,1.73787,8.03,0.61
55 login,521,136,135,142,144,164,130,220,0.000%,1.74052,6.54,0.82
02_Login1,521,136,135,142,144,164,130,220,0.000%,1.74052,6.54,0.82
56 login,521,273,271,283,286,306,260,849,0.000%,1.73980,8.79,2.32
57 login,519,136,135,142,143,154,130,187,0.000%,1.74049,8.42,0.86
02_Login2,519,409,406,425,432,455,390,991,0.000%,1.73885,17.20,3.17
59 dogs,519,137,136,142,144,159,130,483,0.000%,1.74050,7.07,0.77
03_Dogs,519,137,136,142,144,159,130,483,0.000%,1.74049,7.07,0.77
60 logout,519,272,270,283,287,321,260,617,0.000%,1.73970,8.53,1.56
61 logout,519,140,135,141,143,184,130,819,0.000%,1.74051,8.04,0.77
04_Logout,519,412,406,424,431,693,390,1098,0.000%,1.73887,16.55,2.33
TOTAL,6240,277,260,557,573,598,130,1101,0.000%,20.77452,110.26,15.32
